time,ballDis,ballDir,goalDis,goalDir,goalSide,teammateOneDis,teammateOneDir,teammateTwoDis,teammateTwoDir,teammateThreeDis,teammateThreeDir,teammateFourDis,teammateFourDir,opponentOneDis,opponentOneDir,opponentTwoDis,opponentTwoDir,opponentThreeDis,opponentThreeDir,opponentFourDis,opponentFourDir,opponentFiveDis,opponentFiveDir,ActionType,ActionPower,ActionAngle
5037,0.4,-22,27.1,9,1,999,999,999,999,999,999,999,999,0.6,174,0.7,-108,1,138,1.1,-5,1.2,-173,kick,100,9
4075,0.4,-9,23.6,11,1,999,999,999,999,999,999,999,999,0.7,-137,1,171,1.8,139,2.7,7,3.3,6,kick,100,11
4062,0.4,-114,20.7,-8,0,0.6,-21,1.2,-24,999,999,999,999,0.7,-81,999,999,999,999,999,999,999,999,turn,,40
3203,0.4,88,19.1,-17,0,0.6,16,999,999,999,999,999,999,0.7,150,1,116,1.1,-154,1.3,148,2,162,turn,,40
5179,0.4,117,10,-28,1,0.6,25,999,999,999,999,999,999,0.6,-82,0.7,-28,0.9,165,1,-116,1.3,141,kick,100,-28
2233,0.4,92,1.9,-8,1,999,999,999,999,999,999,999,999,0.6,-99,0.7,131,0.9,-1,1.2,-161,1.3,171,kick,100,-8
5886,0.5,96,57.4,-2,1,0.6,28,1.2,38,999,999,999,999,1.2,102,9,-12,999,999,999,999,999,999,kick,100,-2
5886,0.5,96,57.4,-2,1,0.6,28,1.2,38,999,999,999,999,1.2,102,9,-12,999,999,999,999,999,999,kick,100,-2
5886,0.5,96,57.4,-2,1,0.6,28,1.1,-23,1.2,38,999,999,1.2,102,9,-13,999,999,999,999,999,999,kick,100,-2
5886,0.5,96,57.4,-2,1,0.6,28,0.9,-19,1.2,38,999,999,1.2,102,9,-13,999,999,999,999,999,999,kick,100,-2
5886,0.5,96,57.4,-2,1,0.6,28,0.8,-17,1.2,38,999,999,1.2,102,9,-13,999,999,999,999,999,999,kick,100,-2
5886,0.5,96,57.4,-2,1,0.6,31,0.8,-17,1.2,38,999,999,1.2,102,9,-13,999,999,999,999,999,999,kick,100,-2
5886,0.5,96,57.4,-2,1,0.6,33,0.7,-17,1.2,38,999,999,1.2,102,9,-13,999,999,999,999,999,999,kick,100,-2
5886,0.5,96,57.4,-2,1,0.6,33,0.7,-17,1.2,38,999,999,1.2,102,9,-13,999,999,999,999,999,999,kick,100,-2
5886,0.5,96,57.4,-2,1,0.6,36,0.7,-17,1.2,38,999,999,1.2,102,9,-13,999,999,999,999,999,999,kick,100,-2
5886,0.5,96,57.4,-2,1,0.6,36,0.7,-17,1.2,38,999,999,1.2,102,9,-14,999,999,999,999,999,999,kick,100,-2
5886,0.5,96,57.4,-2,1,0.6,38,0.7,-16,1.2,38,999,999,1.2,102,9,-13,999,999,999,999,999,999,kick,100,-2
5886,0.5,96,57.4,-2,1,0.6,38,0.7,-16,1.2,38,999,999,1.2,102,9,-13,999,999,999,999,999,999,kick,100,-2
5886,0.5,96,57.4,-2,1,0.6,38,0.7,-16,1.2,38,999,999,1.2,102,9,-13,999,999,999,999,999,999,kick,100,-2
5886,0.5,96,57.4,-2,1,0.6,38,0.7,-16,1.2,38,999,999,1.2,102,9,-13,999,999,999,999,999,999,kick,100,-2
5886,0.5,96,57.4,-2,1,0.6,38,0.7,-16,1.2,38,999,999,1.2,102,9,-13,999,999,999,999,999,999,kick,100,-2
5886,0.5,97,57.4,-2,1,0.6,28,1.2,39,999,999,999,999,1.2,102,9,-12,999,999,999,999,999,999,kick,100,-2
196,0.5,17,56.8,15,1,0.7,-21,1.3,12,999,999,999,999,1.5,177,999,999,999,999,999,999,999,999,kick,100,15
196,0.5,17,56.8,15,1,0.7,-21,1.3,12,999,999,999,999,1.5,177,999,999,999,999,999,999,999,999,kick,100,15
5886,0.5,169,56.8,3,1,999,999,999,999,999,999,999,999,0.6,-134,1.1,139,8.2,-9,9,8,999,999,kick,100,3
5886,0.5,169,56.8,3,1,999,999,999,999,999,999,999,999,0.6,-134,1.1,139,8.2,-9,9,8,999,999,kick,100,3
5886,0.5,169,56.8,3,1,999,999,999,999,999,999,999,999,0.6,-134,1.1,139,8.2,-9,9,8,999,999,kick,100,3
5886,0.5,169,56.8,3,1,999,999,999,999,999,999,999,999,0.6,-134,1.1,139,8.2,-9,9,9,999,999,kick,100,3
5886,0.5,169,56.8,3,1,999,999,999,999,999,999,999,999,0.6,-134,1.1,139,8.2,-9,9,9,999,999,kick,100,3
1801,0.5,-26,50.4,7,1,0.6,17,1,-26,1.2,9,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,7
1801,0.5,-26,50.4,7,1,0.6,17,1,-26,1.2,9,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,7
4752,0.5,-177,33.4,-2,1,999,999,999,999,999,999,999,999,0.6,-84,0.7,157,0.8,-154,1,-117,1.2,87,kick,100,-2
2478,0.5,-114,26,4,1,999,999,999,999,999,999,999,999,0.7,-77,1.3,-106,1.8,-95,2.2,-80,6,1,kick,100,4
4059,0.5,-87,20.7,27,0,0.6,16,1.2,11,999,999,999,999,0.6,-49,999,999,999,999,999,999,999,999,turn,,40
1225,0.6,34,60.3,34,1,0.8,10,999,999,999,999,999,999,0.6,70,1.2,70,999,999,999,999,999,999,kick,100,34
311,0.6,38,58.6,25,1,1.1,27,999,999,999,999,999,999,0.6,96,1,60,999,999,999,999,999,999,kick,100,25
311,0.6,38,58.6,25,1,1.1,27,999,999,999,999,999,999,0.6,96,1,60,999,999,999,999,999,999,kick,100,25
5886,0.6,164,56.8,3,1,999,999,999,999,999,999,999,999,0.6,-141,1.2,138,8.2,-9,9,9,999,999,kick,100,3
5886,0.6,166,56.8,3,1,999,999,999,999,999,999,999,999,0.6,-138,1.1,138,8.2,-9,9,9,999,999,kick,100,3
5886,0.6,166,56.8,3,1,999,999,999,999,999,999,999,999,0.6,-138,1.1,138,8.2,-9,9,9,999,999,kick,100,3
5886,0.6,167,56.8,3,1,999,999,999,999,999,999,999,999,0.6,-136,1.1,139,8.2,-9,9,9,999,999,kick,100,3
5886,0.6,167,56.8,3,1,999,999,999,999,999,999,999,999,0.6,-136,1.1,139,8.2,-10,9,9,999,999,kick,100,3
530,0.6,147,49.4,40,1,0.6,-13,1.1,-39,1.2,1,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,40
530,0.6,147,49.4,40,1,0.6,-13,1.1,-39,1.2,1,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,40
3203,0.6,11,19.9,-11,1,999,999,999,999,999,999,999,999,0.6,84,0.7,-22,0.9,-111,1.2,0,1.3,175,kick,100,-11
5747,0.7,20,94.6,30,1,0.9,-2,999,999,999,999,999,999,0.6,55,1.1,73,1.3,19,1.8,2,2,29,kick,100,30
4077,0.7,150,84.8,-9,1,999,999,999,999,999,999,999,999,0.6,-177,0.7,114,1.1,157,2.7,-2,3.3,4,kick,100,-9
5886,0.7,162,56.8,3,1,999,999,999,999,999,999,999,999,0.6,-144,0.9,-48,1.2,138,8.2,-8,999,999,kick,100,3
5886,0.7,162,56.8,3,1,999,999,999,999,999,999,999,999,0.6,-144,0.9,-48,1.2,138,8.2,-8,9,9,kick,100,3
5886,0.7,162,56.8,3,1,999,999,999,999,999,999,999,999,0.6,-144,0.9,-48,1.2,138,8.2,-8,9,9,kick,100,3
5886,0.7,162,56.8,3,1,999,999,999,999,999,999,999,999,0.6,-144,0.8,-49,1.2,138,8.2,-8,9,9,kick,100,3
5886,0.7,162,56.8,3,1,999,999,999,999,999,999,999,999,0.6,-144,0.7,-52,1.2,138,8.2,-8,9,9,kick,100,3
5886,0.7,162,56.8,3,1,999,999,999,999,999,999,999,999,0.6,-144,1.2,138,8.2,-8,9,9,999,999,kick,100,3
1410,0.7,-155,44.3,18,1,0.6,15,1.1,-11,1.3,19,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,18
1410,0.7,-155,44.3,18,1,0.6,15,1.1,-11,1.3,19,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,18
1003,0.7,-168,36.2,20,1,0.6,29,1.2,28,1.5,3,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,20
1003,0.7,-168,36.2,20,1,0.6,29,1.2,28,1.5,3,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,20
5044,0.7,-155,28.2,6,1,1.1,0,999,999,999,999,999,999,0.6,15,0.8,59,1.1,-34,1.6,10,2.2,-4,kick,100,6
520,0.7,-30,23.8,21,1,999,999,999,999,999,999,999,999,0.6,117,0.7,-128,0.9,-88,1,-177,1.1,-31,kick,100,21
820,0.7,17,16.3,7,1,999,999,999,999,999,999,999,999,0.6,169,0.7,116,1.1,-161,1.2,-24,1.3,1,kick,100,7
5179,0.7,-175,9.7,-20,1,999,999,999,999,999,999,999,999,0.6,-71,0.9,159,1,-107,1.3,-143,1.5,-168,kick,100,-20
4471,0.8,-170,91.8,23,1,1.2,13,999,999,999,999,999,999,0.6,53,1.2,42,1.6,61,1.8,22,2.2,33,kick,100,23
4474,0.8,33,91.8,23,1,1.1,14,999,999,999,999,999,999,0.6,59,1.2,46,1.6,64,1.8,22,2,4,kick,100,23
4476,0.8,40,91.8,23,1,1.1,16,999,999,999,999,999,999,0.6,64,1.2,48,1.6,67,1.8,22,2,4,kick,100,23
1114,0.8,-151,89.1,14,1,1.1,34,1.3,6,2,-4,2.2,25,0.6,4,1.6,35,2.2,9,2.7,37,3,13,kick,100,14
2022,0.8,84,86.5,-29,1,1.2,40,999,999,999,999,999,999,0.6,57,0.9,116,1.3,96,6,-14,6.7,-30,kick,100,-29
3373,0.8,-147,64.7,15,1,0.6,35,1.1,18,1.3,-7,2,8,0.6,-37,1.6,-26,1.8,25,2,-9,999,999,kick,100,15
3374,0.8,-147,64.7,15,1,0.6,35,1.1,18,1.3,-7,1.8,7,0.6,-37,1.6,-26,1.8,26,2,-10,999,999,kick,100,15
4909,0.8,-60,60.9,5,1,0.9,-34,999,999,999,999,999,999,2.5,85,9,1,10,0,11,3,999,999,kick,100,5
1628,0.8,-170,58.6,14,1,0.6,32,1.3,4,1.5,27,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,14
1628,0.8,-170,58.6,14,1,0.6,32,1.3,4,1.5,27,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,14
1631,0.8,16,58.6,14,1,0.6,40,1.2,4,1.5,29,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,14
1631,0.8,16,58.6,14,1,0.6,40,1.2,4,1.5,29,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,14
814,0.8,-164,56.3,21,1,0.6,13,999,999,999,999,999,999,0.6,72,999,999,999,999,999,999,999,999,kick,100,21
2876,0.8,-163,48.9,44,1,1.1,17,999,999,999,999,999,999,0.6,54,1.2,47,999,999,999,999,999,999,kick,100,44
2876,0.8,-163,48.9,44,1,1.1,17,999,999,999,999,999,999,0.6,54,1.2,47,999,999,999,999,999,999,kick,100,44
2681,0.8,-158,42.1,11,1,0.6,-19,1.1,13,2.2,18,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,11
1002,0.8,-167,36.2,20,1,0.6,28,1.2,28,1.3,2,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,20
1002,0.8,-167,36.2,20,1,0.6,28,1.2,28,1.3,2,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,20
2375,0.8,-122,32.8,27,1,999,999,999,999,999,999,999,999,0.6,106,0.8,154,1.2,103,999,999,999,999,kick,100,27
5053,0.8,-165,28.2,9,1,1.2,3,999,999,999,999,999,999,0.6,15,0.7,68,1,-37,1.5,-18,1.6,14,kick,100,9
5050,0.8,-161,28.2,9,1,1.2,3,999,999,999,999,999,999,0.6,15,0.8,64,1,-34,1.5,-17,1.6,13,kick,100,9
2478,0.8,59,26.6,-11,1,0.8,32,999,999,999,999,999,999,0.6,-89,1.2,-69,1.3,54,6.7,-6,7.4,-6,kick,100,-11
1118,0.8,24,18,-30,1,1.2,18,999,999,999,999,999,999,0.6,133,0.7,-174,0.8,58,1,101,1.2,129,kick,100,-30
1111,0.9,-114,999,999,0,2.2,36,999,999,999,999,999,999,0.6,48,1.1,72,1.5,49,1.8,72,2.2,65,turn,,40
2974,0.9,156,67.4,23,1,0.6,30,0.9,-11,999,999,999,999,1,64,999,999,999,999,999,999,999,999,kick,100,23
2974,0.9,156,67.4,23,1,0.6,30,0.9,-11,999,999,999,999,1,64,999,999,999,999,999,999,999,999,kick,100,23
2910,0.9,11,59.7,13,1,1.3,20,999,999,999,999,999,999,0.6,108,0.7,31,1.1,63,1.2,99,1.5,79,kick,100,13
309,0.9,-165,58.6,25,1,1.1,27,999,999,999,999,999,999,0.6,96,1,60,999,999,999,999,999,999,kick,100,25
309,0.9,-165,58.6,25,1,1.1,27,999,999,999,999,999,999,0.6,96,1,60,999,999,999,999,999,999,kick,100,25
4329,0.9,0,53.5,3,1,999,999,999,999,999,999,999,999,1.1,-177,1.5,-156,1.6,-178,10,25,999,999,kick,100,3
4632,0.9,25,53.5,-1,1,1.3,-21,999,999,999,999,999,999,0.7,-126,1.2,-107,9,-36,999,999,999,999,kick,100,-1
2879,0.9,72,48.9,44,1,1.1,19,999,999,999,999,999,999,0.6,53,1.2,47,999,999,999,999,999,999,kick,100,44
2879,0.9,72,48.9,44,1,1.1,19,999,999,999,999,999,999,0.6,53,1.2,47,999,999,999,999,999,999,kick,100,44
430,0.9,72,47.5,12,1,0.6,-44,999,999,999,999,999,999,0.6,-119,1,-81,999,999,999,999,999,999,kick,100,12
2597,0.9,1,33.8,20,1,999,999,999,999,999,999,999,999,1.1,-143,1.3,-168,1.6,-135,999,999,999,999,kick,100,20
5038,0.9,-158,28.2,6,1,1.1,1,999,999,999,999,999,999,0.6,14,0.8,59,1.1,-35,1.5,-19,1.6,6,kick,100,6
2474,0.9,75,19.3,-36,0,0.8,35,999,999,999,999,999,999,0.6,145,1.3,70,999,999,999,999,999,999,turn,,40
235,0.9,-18,18.5,7,1,0.6,-31,999,999,999,999,999,999,0.6,-122,0.9,-73,1.2,-33,1.3,-7,1.5,-154,kick,100,7
5183,0.9,-39,18.4,-4,1,999,999,999,999,999,999,999,999,7.4,7,8.2,0,9,2,999,999,999,999,kick,100,-4
2234,0.9,-12,0.3,-35,1,999,999,999,999,999,999,999,999,0.6,162,1,-164,1.2,-133,1.6,-116,999,999,kick,100,-35
2234,0.9,-8,0.3,-23,1,999,999,999,999,999,999,999,999,0.6,160,0.9,-91,1,-166,1.2,-135,1.6,-119,kick,100,-23
2234,0.9,-7,0.3,-19,1,999,999,999,999,999,999,999,999,0.6,158,0.7,100,0.9,-91,1,-167,1.2,-137,kick,100,-19
1108,1,-74,999,999,0,999,999,999,999,999,999,999,999,0.6,93,1.2,114,1.6,91,1.8,112,2.2,77,turn,,40
1105,1,-35,999,999,0,999,999,999,999,999,999,999,999,0.8,132,1.3,153,1.8,132,2,148,2.2,118,turn,,40
5744,1,-149,94.6,30,1,0.7,42,0.9,0,1.3,43,999,999,1.1,70,1.5,20,1.8,0,2,29,2.5,35,kick,100,30
1117,1,-2,89.1,14,1,1.1,33,1.3,7,2,-8,2.2,24,0.6,4,1.6,36,2,8,2.5,37,2.7,14,kick,100,14
1118,1,18,89.1,14,1,1.1,38,1.3,7,2,-8,2.2,24,0.6,4,1.6,36,2,8,2.5,37,2.7,14,kick,100,14
2020,1,-19,85.6,2,1,999,999,999,999,999,999,999,999,0.7,-127,1.1,-175,1.2,-103,5.5,8,6.7,-7,kick,100,2
3787,1,-164,84.8,17,1,0.7,-23,1.8,41,2.2,-7,999,999,0.7,31,1.1,0,1.2,50,1.3,25,1.6,6,kick,100,17
2106,1,18,75.2,-22,1,0.6,8,999,999,999,999,999,999,0.7,-156,0.8,-36,1,159,1.2,-5,1.3,-50,kick,100,-22
2186,1,-123,66,34,1,0.6,-45,999,999,999,999,999,999,0.6,100,1,69,999,999,999,999,999,999,kick,100,34
2187,1,-157,65.4,35,1,999,999,999,999,999,999,999,999,0.6,137,1.1,119,1.3,93,999,999,999,999,kick,100,35
2187,1,-157,65.4,35,1,999,999,999,999,999,999,999,999,0.6,137,1.1,119,1.3,93,999,999,999,999,kick,100,35
1490,1,-168,60.3,17,1,0.7,-15,1.1,-39,999,999,999,999,0.6,-79,999,999,999,999,999,999,999,999,kick,100,17
1223,1,-158,60.3,34,1,0.9,13,999,999,999,999,999,999,0.7,55,1.2,67,999,999,999,999,999,999,kick,100,34
182,1,-1,58.6,43,1,2.2,27,2.7,20,3,31,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,43
182,1,-1,58.6,43,1,2.2,27,2.7,20,3,31,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,43
5886,1,-150,56.3,14,1,999,999,999,999,999,999,999,999,0.6,-110,1.2,-122,8.2,0,999,999,999,999,kick,100,14
5886,1,-149,56.3,15,1,999,999,999,999,999,999,999,999,0.6,-110,1.2,-121,8.2,0,999,999,999,999,kick,100,15
5886,1,-149,56.3,15,1,999,999,999,999,999,999,999,999,0.6,-110,1.2,-121,8.2,0,999,999,999,999,kick,100,15
5886,1,-149,56.3,15,1,999,999,999,999,999,999,999,999,0.6,-110,1.2,-121,8.2,0,999,999,999,999,kick,100,15
5886,1,-149,56.3,15,1,999,999,999,999,999,999,999,999,0.6,-110,1.1,-73,1.2,-121,8.2,0,999,999,kick,100,15
5886,1,-149,56.3,15,1,999,999,999,999,999,999,999,999,0.6,-111,1,-77,1.2,-121,8.2,0,999,999,kick,100,15
5886,1,-149,56.3,15,1,999,999,999,999,999,999,999,999,0.6,-113,1,-80,1.2,-121,8.2,0,999,999,kick,100,15
5886,1,-149,56.3,15,1,999,999,999,999,999,999,999,999,0.6,-116,1,-82,1.2,-121,8.2,0,999,999,kick,100,15
5886,1,-149,56.3,15,1,999,999,999,999,999,999,999,999,0.6,-116,1,-82,1.2,-121,8.2,0,999,999,kick,100,15
5886,1,-149,56.3,15,1,999,999,999,999,999,999,999,999,0.6,-118,1,-85,1.2,-121,8.2,0,999,999,kick,100,15
5886,1,-149,56.3,15,1,999,999,999,999,999,999,999,999,0.6,-118,1,-85,1.2,-121,8.2,-1,999,999,kick,100,15
5886,1,-148,56.3,15,1,999,999,999,999,999,999,999,999,0.6,-121,1,-87,1.2,-121,8.2,0,999,999,kick,100,15
5886,1,-148,56.3,15,1,999,999,999,999,999,999,999,999,0.6,-121,1,-87,1.2,-121,8.2,0,999,999,kick,100,15
5886,1,-148,56.3,15,1,999,999,999,999,999,999,999,999,0.6,-121,1,-87,1.2,-121,8.2,0,999,999,kick,100,15
5886,1,-148,56.3,15,1,999,999,999,999,999,999,999,999,0.6,-121,1,-87,1.2,-121,8.2,0,999,999,kick,100,15
5886,1,-148,56.3,15,1,999,999,999,999,999,999,999,999,0.6,-121,1,-87,1.2,-121,8.2,0,999,999,kick,100,15
816,1,16,56.3,21,1,0.6,10,999,999,999,999,999,999,0.6,-50,0.7,68,999,999,999,999,999,999,kick,100,21
82,1,0,53.5,25,1,999,999,999,999,999,999,999,999,1.1,70,1.2,-50,999,999,999,999,999,999,kick,100,25
5579,1,0,53.5,-1,1,999,999,999,999,999,999,999,999,0.6,154,1.1,174,2.2,-168,2.5,178,10,14,kick,100,-1
3074,1,0,53.5,-36,1,999,999,999,999,999,999,999,999,0.6,-76,10,-42,999,999,999,999,999,999,kick,100,-36
5580,1,1,53.5,-1,1,999,999,999,999,999,999,999,999,0.6,150,1.2,173,2.2,-169,2.5,177,10,15,kick,100,-1
1937,1,-40,51.4,8,1,0.8,21,999,999,999,999,999,999,0.6,65,1.2,69,999,999,999,999,999,999,kick,100,8
1937,1,-40,51.4,8,1,0.8,21,999,999,999,999,999,999,0.6,65,1.2,69,999,999,999,999,999,999,kick,100,8
1798,1,-167,50.4,7,1,0.7,10,1.1,-24,1.3,9,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,7
1798,1,-167,50.4,7,1,0.7,10,1.1,-24,1.3,9,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,7
1936,1,-90,50.4,8,1,999,999,999,999,999,999,999,999,0.6,157,0.8,-159,0.9,115,999,999,999,999,kick,100,8
1936,1,-90,50.4,8,1,999,999,999,999,999,999,999,999,0.6,157,0.8,-159,0.9,115,999,999,999,999,kick,100,8
2095,1,-162,49.9,21,1,0.7,20,1.3,31,999,999,999,999,0.6,73,999,999,999,999,999,999,999,999,kick,100,21
2095,1,-162,49.9,21,1,0.7,20,1.3,31,999,999,999,999,0.6,73,999,999,999,999,999,999,999,999,kick,100,21
1092,1,-169,49.4,7,1,999,999,999,999,999,999,999,999,0.7,122,1.2,104,1.6,85,999,999,999,999,kick,100,7
1092,1,-169,49.4,7,1,999,999,999,999,999,999,999,999,0.7,122,1.2,104,1.6,85,999,999,999,999,kick,100,7
1413,1,7,44.3,18,1,0.6,16,1.1,-14,1.2,25,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,18
1413,1,7,44.3,18,1,0.6,16,1.1,-14,1.2,25,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,18
2684,1,-4,42.5,11,1,0.6,-25,1.1,17,2,16,999,999,999,999,999,999,999,999,999,999,999,999,kick,100,11
2745,1,0,38.5,-8,1,999,999,999,999,999,999,999,999,0.8,-141,1,101,1.6,-141,999,999,999,999,kick,100,-8
3505,1,-1,37.3,14,1,999,999,999,999,999,999,999,999,0.6,-124,0.8,-172,1.3,-151,1.6,158,1.8,-167,kick,100,14
2517,1,162,34.5,16,1,0.6,38,0.7,-13,999,999,999,999,0.6,-65,999,999,999,999,999,999,999,999,kick,100,16
2517,1,162,34.5,16,1,0.6,38,0.7,-13,999,999,999,999,0.6,-65,999,999,999,999,999,999,999,999,kick,100,16
5037,1,-11,27.7,10,0,1.1,-31,1.2,7,1.6,-4,999,999,0.6,-3,0.7,-162,0.8,-61,1.2,-169,999,999,turn,,40
2017,1,-43,25.8,28,1,1.8,-30,999,999,999,999,999,999,0.6,-58,0.8,159,1.2,-60,6.7,32,7.4,28,kick,100,28
4081,1,47,23.3,4,1,999,999,999,999,999,999,999,999,0.7,-146,1.1,165,2,135,2.7,1,3,13,kick,100,4
5423,1,0,21.3,1,1,999,999,999,999,999,999,999,999,0.7,127,0.9,-171,1.1,153,1.5,177,1.6,154,kick,100,1
3205,1,-113,20.9,15,1,1.3,-13,999,999,999,999,999,999,0.6,-127,0.8,-26,0.9,-74,1,9,1.8,-37,kick,100,15
1102,1,0,16.9,-24,0,999,999,999,999,999,999,999,999,1,170,1.5,-171,2,170,2.2,156,3,-177,turn,,40
1745,1,0,16.9,11,1,999,999,999,999,999,999,999,999,0.8,179,1,-144,1.1,145,1.5,-178,1.6,-156,kick,100,11
5179,1,-13,11.2,-14,0,2,-19,999,999,999,999,999,999,0.6,-60,0.8,8,1.2,-56,1.3,-22,1.6,-3,turn,,40
2234,1,-3,0.4,-4,1,999,999,999,999,999,999,999,999,0.6,157,0.7,-91,1.1,-171,1.2,-140,1.6,-123,kick,100,-4
2234,1,-6,0.3,-15,1,999,999,999,999,999,999,999,999,0.6,162,0.8,-90,1.1,-168,1.2,-139,1.6,-121,kick,100,-15
2234,1,-4,0.3,-8,1,999,999,999,999,999,999,999,999,0.6,101,0.7,160,1.1,-170,1.2,-140,1.6,-124,kick,100,-8
4326,1.1,0,53.5,3,1,999,999,999,999,999,999,999,999,1,-176,1.5,163,1.6,-159,1.8,-178,10,25,dash,11,
5421,1.1,0,21.5,1,1,999,999,999,999,999,999,999,999,0.6,123,1,-172,1.2,155,1.5,177,1.8,154,dash,11,
